id,type,namespace,title,comment,parsedcomment,timestamp,user,bot,minor,patrolled,server_name,wiki,length_old,length_new,revision_old,revision_new
2034180919.0,edit,4,Wikipedia:Categories for discussion/Log/2026 June 4,/* Category:Horses in film and television */ Supp,"<span class=""autocomment""><a href=""/wiki/Wikipedia:Categories_for_discussion/Log/2026_June_4#Category:Horses_in_film_and_television"" title=""Wikipedia:Categories for discussion/Log/2026 June 4"">→<bdi dir=""ltr"">Category:Horses in film and television</bdi></a>: </span> Supp",1780608041,Marcocapelle,False,False,,en.wikipedia.org,enwiki,62387.0,62581.0,1357818299.0,1357818864.0
2034180920.0,categorize,14,Category:Irish dynasty and family navigational boxes,"[[:Template:Ó Conchobhair]] added to category, [[Special:WhatLinksHere/Template:Ó Conchobhair|this page is included within other pages]]","<a href=""/wiki/Template:%C3%93_Conchobhair"" title=""Template:Ó Conchobhair"">Template:Ó Conchobhair</a> added to category, <a href=""/wiki/Special:WhatLinksHere/Template:%C3%93_Conchobhair"" title=""Special:WhatLinksHere/Template:Ó Conchobhair"">this page is included within other pages</a>",1780608041,JJMC89 bot III,True,,,en.wikipedia.org,enwiki,,,,
2034180921.0,categorize,14,Category:Irish dynasties and families navigational boxes,"[[:Template:Ó Conchobhair]] removed from category, [[Special:WhatLinksHere/Template:Ó Conchobhair|this page is included within other pages]]","<a href=""/wiki/Template:%C3%93_Conchobhair"" title=""Template:Ó Conchobhair"">Template:Ó Conchobhair</a> removed from category, <a href=""/wiki/Special:WhatLinksHere/Template:%C3%93_Conchobhair"" title=""Special:WhatLinksHere/Template:Ó Conchobhair"">this page is included within other pages</a>",1780608041,JJMC89 bot III,True,,,en.wikipedia.org,enwiki,,,,
2034180922.0,edit,0,Ignatius Yeshu II,fixing infobox and removing [[Category:Pages using infobox Christian leader with deprecated parameters|deprecated parameters]]; Cleaning up syntax using [[:en:User:Zackmann08/scripts/indent|indent.js]],"fixing infobox and removing <a href=""/wiki/Category:Pages_using_infobox_Christian_leader_with_deprecated_parameters"" title=""Category:Pages using infobox Christian leader with deprecated parameters"">deprecated parameters</a>; Cleaning up syntax using <a href=""/wiki/User:Zackmann08/scripts/indent"" title=""User:Zackmann08/scripts/indent"">indent.js</a>",1780608042,Zackmann08,False,True,,en.wikipedia.org,enwiki,4698.0,4753.0,1310281284.0,1357818866.0
2034180923.0,edit,1,Talk:Frank Beard (musician),[[Wikipedia:WikiProject|WikiProject]] tagging,"<a href=""/wiki/Wikipedia:WikiProject"" title=""Wikipedia:WikiProject"">WikiProject</a> tagging",1780608042,Simeon,False,False,,en.wikipedia.org,enwiki,1202.0,1214.0,1287096287.0,1357818867.0
2034180924.0,edit,0,2007 Detroit Indy Grand Prix,,,1780608041,Dangitbilly,False,False,,en.wikipedia.org,enwiki,39855.0,40648.0,1357815747.0,1357818859.0
2034180925.0,edit,10,Template:Ó Dálaigh,Moving [[:Category:Irish dynasties and families navigational boxes]] to [[:Category:Irish dynasty and family navigational boxes]] per [[Wikipedia:Categories for discussion/Speedy]],"Moving <a href=""/w/index.php?title=Category:Irish_dynasties_and_families_navigational_boxes&amp;action=edit&amp;redlink=1"" class=""new"" title=""Category:Irish dynasties and families navigational boxes (page does not exist)"">Category:Irish dynasties and families navigational boxes</a> to <a href=""/wiki/Category:Irish_dynasty_and_family_navigational_boxes"" title=""Category:Irish dynasty and family navigational boxes"">Category:Irish dynasty and family navigational boxes</a> per <a href=""/wiki/Wikipedia:Categories_for_discussion/Speedy"" title=""Wikipedia:Categories for discussion/Speedy"">Wikipedia:Categories for discussion/Speedy</a>",1780608043,JJMC89 bot III,True,True,,en.wikipedia.org,enwiki,2114.0,2110.0,1064771343.0,1357818870.0
2034180926.0,categorize,14,Category:Irish dynasty and family navigational boxes,"[[:Template:Ó Dálaigh]] added to category, [[Special:WhatLinksHere/Template:Ó Dálaigh|this page is included within other pages]]","<a href=""/wiki/Template:%C3%93_D%C3%A1laigh"" title=""Template:Ó Dálaigh"">Template:Ó Dálaigh</a> added to category, <a href=""/wiki/Special:WhatLinksHere/Template:%C3%93_D%C3%A1laigh"" title=""Special:WhatLinksHere/Template:Ó Dálaigh"">this page is included within other pages</a>",1780608043,JJMC89 bot III,True,,,en.wikipedia.org,enwiki,,,,
2034180927.0,categorize,14,Category:Irish dynasties and families navigational boxes,"[[:Template:Ó Dálaigh]] removed from category, [[Special:WhatLinksHere/Template:Ó Dálaigh|this page is included within other pages]]","<a href=""/wiki/Template:%C3%93_D%C3%A1laigh"" title=""Template:Ó Dálaigh"">Template:Ó Dálaigh</a> removed from category, <a href=""/wiki/Special:WhatLinksHere/Template:%C3%93_D%C3%A1laigh"" title=""Special:WhatLinksHere/Template:Ó Dálaigh"">this page is included within other pages</a>",1780608043,JJMC89 bot III,True,,,en.wikipedia.org,enwiki,,,,
2034180928.0,edit,0,Ignatius Yunan,fixing infobox and removing [[Category:Pages using infobox Christian leader with deprecated parameters|deprecated parameters]]; Cleaning up syntax using [[:en:User:Zackmann08/scripts/indent|indent.js]],"fixing infobox and removing <a href=""/wiki/Category:Pages_using_infobox_Christian_leader_with_deprecated_parameters"" title=""Category:Pages using infobox Christian leader with deprecated parameters"">deprecated parameters</a>; Cleaning up syntax using <a href=""/wiki/User:Zackmann08/scripts/indent"" title=""User:Zackmann08/scripts/indent"">indent.js</a>",1780608044,Zackmann08,False,True,,en.wikipedia.org,enwiki,3395.0,3451.0,1311137193.0,1357818872.0
2034180929.0,edit,0,Per sign,cite webster's,cite webster&#039;s,1780608044,Dingolover6969,False,False,,en.wikipedia.org,enwiki,1649.0,2026.0,1172469876.0,1357818871.0
2034180930.0,edit,0,Croatian Bloc (coalition),/* Establishment */ ce,"<span class=""autocomment""><a href=""/wiki/Croatian_Bloc_(coalition)#Establishment"" title=""Croatian Bloc (coalition)"">→<bdi dir=""ltr"">Establishment</bdi></a>: </span> ce",1780608043,Tomobe03,False,False,,en.wikipedia.org,enwiki,11928.0,11932.0,1357818824.0,1357818869.0
2034180931.0,categorize,14,Category:Pages using infobox Christian leader with deprecated parameters,"[[:Ignatius Yeshu II]] removed from category, [[Special:WhatLinksHere/Ignatius Yeshu II|this page is included within other pages]]","<a href=""/wiki/Ignatius_Yeshu_II"" title=""Ignatius Yeshu II"">Ignatius Yeshu II</a> removed from category, <a href=""/wiki/Special:WhatLinksHere/Ignatius_Yeshu_II"" title=""Special:WhatLinksHere/Ignatius Yeshu II"">this page is included within other pages</a>",1780608042,Zackmann08,False,,,en.wikipedia.org,enwiki,,,,
2034180932.0,edit,14,Category:Animated television about werewolves,Listed for speedy renaming; see [[WP:CFDS|Categories for discussion/Speedy]].,"Listed for speedy renaming; see <a href=""/wiki/Wikipedia:CFDS"" class=""mw-redirect"" title=""Wikipedia:CFDS"">Categories for discussion/Speedy</a>.",1780608042,Οἶδα,False,False,,en.wikipedia.org,enwiki,1106.0,1477.0,1334542815.0,1357818865.0
2034180933.0,categorize,14,Category:Start-Class American music articles,[[:Talk:Frank Beard (musician)]] added to category,"<a href=""/wiki/Talk:Frank_Beard_(musician)"" title=""Talk:Frank Beard (musician)"">Talk:Frank Beard (musician)</a> added to category",1780608042,Simeon,False,,,en.wikipedia.org,enwiki,,,,
2034180934.0,categorize,14,Category:Unknown-importance American music articles,[[:Talk:Frank Beard (musician)]] added to category,"<a href=""/wiki/Talk:Frank_Beard_(musician)"" title=""Talk:Frank Beard (musician)"">Talk:Frank Beard (musician)</a> added to category",1780608042,Simeon,False,,,en.wikipedia.org,enwiki,,,,
2034180935.0,categorize,14,Category:WikiProject American music articles,[[:Talk:Frank Beard (musician)]] added to category,"<a href=""/wiki/Talk:Frank_Beard_(musician)"" title=""Talk:Frank Beard (musician)"">Talk:Frank Beard (musician)</a> added to category",1780608042,Simeon,False,,,en.wikipedia.org,enwiki,,,,
